id,author,title,url,urlToImage,publishedAt,SourceId
409,NULL,"Who owns an idea?",https://www.economist.com/prospero/2018/05/28/who-owns-an-idea,https://cdn.static-economist.com/sites/default/files/20180526_BLP526.jpg,"2018-05-28 12:31:29",the-economist
410,NULL,"Rafael Nadal is the biggest men’s grand-slam favourite in years",https://www.economist.com/graphic-detail/2018/05/28/rafael-nadal-is-the-biggest-mens-grand-slam-favourite-in-years,https://cdn.static-economist.com/sites/default/files/20180602_WOC560.png,"2018-05-28 10:57:00",the-economist
411,NULL,"Why airliners in Cuba and Iran crash so much",https://www.economist.com/gulliver/2018/05/28/why-airliners-in-cuba-and-iran-crash-so-much,https://cdn.static-economist.com/sites/default/files/20180526_BLP524.jpg,"2018-05-28 10:10:00",the-economist
412,NULL,"How Armenia’s revolution has been different",https://www.economist.com/the-economist-explains/2018/05/25/how-armenias-revolution-has-been-different,https://cdn.static-economist.com/sites/default/files/20180526_EUP507.jpg,"2018-05-28 08:36:01",the-economist
413,NULL,"The primeval tribalism of American politics",https://www.economist.com/united-states/2018/05/26/the-primeval-tribalism-of-american-politics,https://cdn.static-economist.com/sites/default/files/images/print-edition/20180526_USD000_0.jpg,"2018-05-27 19:48:54",the-economist
414,NULL,"Ireland’s people are more liberal than its abortion laws imply",https://www.economist.com/graphic-detail/2018/05/25/irelands-people-are-more-liberal-than-its-abortion-laws-imply,https://cdn.static-economist.com/sites/default/files/20180526_WOC524.png,"2018-05-25 15:40:47",the-economist
415,NULL,"Stacey Abrams’s historic win",https://www.economist.com/democracy-in-america/2018/05/25/stacey-abramss-historic-win,https://cdn.static-economist.com/sites/default/files/20180526_USP503.jpg,"2018-05-25 15:05:32",the-economist
416,NULL,"Why Colombians distrust the FARC peace deal",https://www.economist.com/the-economist-explains/2018/05/24/why-colombians-distrust-the-farc-peace-deal,https://cdn.static-economist.com/sites/default/files/20180526_BLP518.jpg,"2018-05-25 14:05:46",the-economist
417,NULL,"A German museum puts the questionable provenance of its art on display",https://www.economist.com/prospero/2018/05/25/a-german-museum-puts-the-questionable-provenance-of-its-art-on-display,https://cdn.static-economist.com/sites/default/files/20180526_BKP513.jpg,"2018-05-25 11:57:51",the-economist
418,NULL,"Donald Trump cancels his meeting with Kim Jong-Un",https://www.economist.com/democracy-in-america/2018/05/24/donald-trump-cancels-his-scheduled-meeting-with-kim-jong-un,https://cdn.static-economist.com/sites/default/files/20180526_USP510.jpg,"2018-05-24 18:36:12",the-economist
419,NULL,"Introducing our prediction model for America’s mid-term elections",https://www.economist.com/graphic-detail/2018/05/24/introducing-our-prediction-model-for-americas-mid-term-elections,https://cdn.static-economist.com/sites/default/files/20180526_USM888.png,"2018-05-24 16:56:37",the-economist
420,NULL,"Billions of women are denied the same choice of employment as men",https://www.economist.com/graphic-detail/2018/05/24/billions-of-women-are-denied-the-same-choice-of-employment-as-men,https://cdn.static-economist.com/sites/default/files/20180526_WOM400.png,"2018-05-24 16:38:59",the-economist
421,NULL,"Who’s ahead in the mid-term race",https://www.economist.com/graphic-detail/2018/05/24/whos-ahead-in-the-mid-term-race,https://cdn.static-economist.com/sites/default/files/20180526_WOP009.jpg,"2018-05-24 15:18:42",the-economist
422,NULL,"Ireland looks set to decriminalise abortion",https://www.economist.com/news/europe/21743138-its-people-are-more-liberal-its-law-ireland-looks-set-decriminalise-abortion?fsrc=rss%7Ceur,NULL,"2018-05-24 14:49:28",the-economist
423,NULL,"A southern-hemisphere Stonehenge is found in Chile",https://www.economist.com/the-americas/2018/05/26/a-southern-hemisphere-stonehenge-is-found-in-chile,https://cdn.static-economist.com/sites/default/files/images/print-edition/20180526_AMP002_0.jpg,"2018-05-24 14:49:28",the-economist
424,NULL,"A woman who ran against Rwanda's president is on trial",https://www.economist.com/middle-east-and-africa/2018/05/26/she-ran-against-rwandas-president.-now-she-is-in-the-dock-for-inciting-insurrection,https://cdn.static-economist.com/sites/default/files/images/2018/05/articles/main/20180526_map004.jpg,"2018-05-24 14:49:28",the-economist
425,NULL,"Turkey’s government takes new powers to censor the internet",https://www.economist.com/europe/2018/05/26/turkeys-government-takes-new-powers-to-censor-the-internet,https://cdn.static-economist.com/sites/default/files/images/print-edition/20180526_EUD002_0.jpg,"2018-05-24 14:49:28",the-economist
426,NULL,"Reformists and traditionalists are at war over Russian schools",https://www.economist.com/europe/2018/05/26/reformists-and-traditionalists-are-at-war-over-russian-schools,https://cdn.static-economist.com/sites/default/files/images/2018/05/articles/main/20180526_eup504.jpg,"2018-05-24 14:49:28",the-economist
427,NULL,"The growing strains between Angela Merkel and Emmanuel Macron",https://www.economist.com/europe/2018/05/26/the-growing-strains-between-angela-merkel-and-emmanuel-macron,https://cdn.static-economist.com/sites/default/files/images/print-edition/20180526_EUP001_0.jpg,"2018-05-24 14:49:28",the-economist
428,NULL,"Foreign firms are taking over Britain’s railways",https://www.economist.com/news/britain/21743136-they-are-not-making-much-money-they-hoped-foreign-firms-are-taking-over-britains?fsrc=rss%7Cbtn,NULL,"2018-05-24 14:49:28",the-economist
429,"Maria Tadeo","Spanish Government Proposes De Cos for Central Bank Governor",https://www.bloomberg.com/news/articles/2018-05-28/spanish-government-proposes-de-cos-for-central-bank-governor,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iX8U50Y1lLuI/v0/1200x800.jpg,"2018-05-28 19:44:27",bloomberg
430,"Margaret Talev, Kanga Kong, Nafeesa Syeed","What Letter? Trump Proceeds Like Summit With Kim Is Still On",https://www.bloomberg.com/news/articles/2018-05-28/trump-appears-to-confirm-his-summit-with-kim-back-on-track,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i3BLvQv4vrb4/v0/1200x900.jpg,"2018-05-28 18:51:38",bloomberg
431,"Katarina Hoije","Militant Attack in Mali's North Leaves More Than 20 Dead",https://www.bloomberg.com/news/articles/2018-05-28/militant-attack-in-mali-s-north-leaves-more-than-20-dead,https://assets.bwbx.io/s3/javelin/public/javelin/images/social-default-a4f15fa7ee.jpg,"2018-05-28 18:20:34",bloomberg
432,"Bryce Baschuk, Benjamin D Katz","U.S. Is Said to Open Door to Talks With EU on Airbus Settlement",https://www.bloomberg.com/news/articles/2018-05-28/u-s-is-said-to-open-door-to-talks-with-eu-on-airbus-settlement,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iYMkydcsC2ng/v0/1200x793.jpg,"2018-05-28 18:17:29",bloomberg
433,NULL,"Former President George HW Bush Hospitalized",https://www.bloomberg.com/news/articles/2018-05-28/former-president-george-hw-bush-hospitalized-misses-parade,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/ieUQEXwNA.ik/v1/1200x900.jpg,"2018-05-28 18:15:48",bloomberg
