id,source,author,title,url,urlToImage,publishedAt,SourceId
304,breitbart-news,"AWR Hawkins","Nearly 40 Shot over 3 Days in Gun-Controlled Chicago",http://www.breitbart.com/big-government/2018/05/03/nearly-40-shot-three-days-gun-controlled-chicago/,http://media.breitbart.com/media/2018/05/chicago-crime-pd-4-2018-getty.jpg,"2018-05-04 03:11:35",breitbart-news
305,breitbart-news,"Katherine Rodriguez","Chicago Nonprofit Files Lawsuit to Block Obama Presidential Center Construction",http://www.breitbart.com/big-government/2018/05/15/chicago-nonprofit-files-lawsuit-block-obama-center-construction/,http://media.breitbart.com/media/2017/12/barack-obama-points-map-obama-presidential-center-library-getty.jpg,"2018-05-15 17:00:51",breitbart-news
306,breitbart-news,"Tom Ciccotta","Northwestern University to Host BDSM Lessons with Chicago Dominatrix",http://www.breitbart.com/tech/2018/03/27/northwestern-university-to-host-bdsm-lessons-with-chicago-dominatrix/,http://media.breitbart.com/media/2017/12/bdsm-suit-getty.jpg,"2018-03-27 15:24:57",breitbart-news
307,breitbart-news,"AWR Hawkins","Police: Shootings at Chicago Gang Member Funerals ‘Out of Control’",http://www.breitbart.com/big-government/2018/03/05/police-shootings-chicago-gang-member-funerals-control/,http://media.breitbart.com/media/2016/02/ap_ap-photo-440-e1520274605650.jpg,"2018-03-05 18:30:21",breitbart-news
308,breitbart-news,AFP,"Milwaukee Police Chief Apologizes for Arrest of NBA Player",http://www.breitbart.com/sports/2018/05/23/milwaukee-police-chief-apologizes-for-arrest-of-nba-player/,http://media.breitbart.com/media/2018/05/Screenshot-4.png,"2018-05-24 01:15:05",breitbart-news
309,breitbart-news,"John Binder","Donald Trump Jr. Applauds Chance The Rapper: ‘Takes Guts’ to Say ‘Black People Don’t Have to Be Democrats’",http://www.breitbart.com/big-hollywood/2018/04/25/donald-trump-jr-applauds-chance-the-rapper-takes-guts-to-say-black-people-dont-have-to-be-democrats/,http://media.breitbart.com/media/2018/04/7uhhn5_trump-jr-donor-business-87406-donald-trump-jr-in-friday-feb-23-2018-file-photo-640x482.jpg,"2018-04-26 00:23:12",breitbart-news
310,breitbart-news,"Warner Todd Huston","Chicago Police: Elderly Woman Found Pushing Around Dead Body in Shopping Cart",http://www.breitbart.com/big-government/2018/04/22/chicago-police-stop-elderly-woman-pushing-around-dead-body-shopping-cart/,http://media.breitbart.com/media/2017/08/chicago1.png,"2018-04-22 15:34:19",breitbart-news
311,breitbart-news,"Penny Starr","Reporter Slams Melania Trump for Not Doing ‘Her Job’",http://www.breitbart.com/big-journalism/2018/04/05/reporter-slams-melania-trump-not-doing-job/,http://media.breitbart.com/media/2018/04/melania-trump-3-20-2018-ap-photo.jpg,"2018-04-06 02:43:01",breitbart-news
312,breitbart-news,"Jerome Hudson","Massage Therapist Sues Marvel Comics Icon Stan Lee for Alleged Sexual Assault",http://www.breitbart.com/big-hollywood/2018/04/23/massage-therapist-marvel-comics-icon-sues-stan-lee-for-alleged-sexual-assault/,http://media.breitbart.com/media/2018/04/StanLee1.jpg,"2018-04-23 22:27:16",breitbart-news
313,breitbart-news,"Warner Todd Huston","Cubs Anthony Rizzo: ‘We Play too Much Baseball,’ Willing to Take Pay Cut for Fewer Games",http://www.breitbart.com/sports/2018/04/18/cubs-anthony-rizzo-play-much-baseball-willing-pay-cut/,http://media.breitbart.com/media/2018/04/AP-Charles-Rex-Arbogast-AR.png,"2018-04-18 18:42:10",breitbart-news
314,breitbart-news,"Mike Rivero","Rahm Emanuel Wants to Withhold City Contracts to Punish Banks That Won't Restrict Gun Businesses",http://www.breitbart.com/big-government/2018/04/17/rahm-emanuel-wants-withhold-city-contracts/,http://media.breitbart.com/media/2018/04/Rahm-Emanuel.png,"2018-04-18 16:35:32",breitbart-news
315,breitbart-news,"Warner Todd Huston","Police: Chicago Woman Pushed Stranger onto Train Tracks Because She Was Having a Bad Day",http://www.breitbart.com/big-government/2018/03/05/police-chicago-woman-pushed-stranger-onto-train-tracks-because-she-was-having-a-bad-day/,http://media.breitbart.com/media/2018/03/Wilma-Maxey-Chicago-Police.jpg,"2018-03-05 22:21:05",breitbart-news
316,breitbart-news,"Warner Todd Huston","Police: Man Exposes Himself to a Child in Chicago Target Store Women’s Bathroom",http://www.breitbart.com/big-government/2018/04/01/police-man-exposes-child-chicago-target-store-womens-bathroom/,http://media.breitbart.com/media/2017/11/Target-shopper-getty.jpg,"2018-04-01 14:10:06",breitbart-news
